Model,Exam,Query,Tool,Exit,Cardinality,Time,OK
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-11,STARMC,0.0,0,0.301,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-12,STARMC,0.0,354501,0.136,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-13,STARMC,0.0,299472,0.027,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-14,STARMC,0.0,6501,0.049,0
SmallOperatingSystem-PT-MT0032DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0032DC0016-CTLstarCardinalityX-15,STARMC,0.0,0,0.084,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-00,STARMC,0.0,0,0.753,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-01,STARMC,0.0,4077909,4.262,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-02,STARMC,0.0,4077909,0.192,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-03,STARMC,0.0,0,0.082,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-04,STARMC,0.0,0,0.105,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-05,STARMC,0.0,0,0.842,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-06,STARMC,0.0,0,0.887,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-07,STARMC,0.0,0,1.878,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-08,STARMC,0.0,0,2.469,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-09,STARMC,0.0,4077909,0.110,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-10,STARMC,0.0,0,0.225,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-11,STARMC,0.0,4077909,0.121,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-12,STARMC,0.0,4077909,0.084,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-13,STARMC,0.0,0,0.712,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-14,STARMC,0.0,4077909,11.262,0
SmallOperatingSystem-PT-MT0064DC0016,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0016-CTLstarCardinalityX-15,STARMC,0.0,153,2.104,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-00,STARMC,0.0,9133641,3.933,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-01,STARMC,0.0,4710496,0.507,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-02,STARMC,0.0,9133641,3.138,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-03,STARMC,0.0,8259704,1.378,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-04,STARMC,0.0,9133641,0.390,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-05,STARMC,0.0,0,0.277,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-06,STARMC,0.0,0,0.111,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-07,STARMC,0.0,9132585,4.932,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-08,STARMC,0.0,9098298,0.912,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-09,STARMC,0.0,9133641,1.249,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-10,STARMC,0.0,9133641,4.157,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-11,STARMC,0.0,0,1.448,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-12,STARMC,0.0,0,1.323,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-13,STARMC,0.0,9133641,0.122,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-14,STARMC,0.0,5976553,2.225,0
SmallOperatingSystem-PT-MT0064DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0064DC0032-CTLstarCardinalityX-15,STARMC,0.0,7399920,1.435,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-00,STARMC,0.0,113321065,0.554,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-01,STARMC,0.0,113321065,1.957,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-03,STARMC,0.0,0,15.754,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-04,STARMC,0.0,113321065,0.492,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-05,STARMC,0.0,0,0.525,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-06,STARMC,0.0,113321065,0.455,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-07,STARMC,0.0,53551351,3.504,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-08,STARMC,0.0,113321065,0.489,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-09,STARMC,0.0,55966176,8.376,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-10,STARMC,0.0,0,59.419,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-11,STARMC,0.0,0,1.036,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-12,STARMC,0.0,113243841,2.603,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-13,STARMC,0.0,0,0.495,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-14,STARMC,0.0,113321065,0.942,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-15,STARMC,0.0,113321065,6.236,0
SmallOperatingSystem-PT-MT0128DC0032,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0032-CTLstarCardinalityX-02,STARMC,85.0,DNF,DNF,1
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-00,STARMC,0.0,1,39.981,0
SmallOperatingSystem-PT-MT0128DC0064,CTLstarCardinality,SmallOperatingSystem-PT-MT0128DC0064-CTLstarCardinalityX-01,STARMC,0.0,0,3.122,0
